iter	Logloss
0	0.5910879384
1	0.4960932462
2	0.4238272427
3	0.3764313417
4	0.3381816643
5	0.3047561866
6	0.2839106578
7	0.2616601043
8	0.2518271454
9	0.2384653931
10	0.2287423502
11	0.2192741863
12	0.212364695
13	0.2051561072
14	0.1998173084
15	0.1969766602
16	0.1933896968
17	0.1894663358
18	0.1865368253
19	0.18511339
20	0.1835573042
21	0.1819277071
22	0.1800101101
23	0.1785739307
24	0.1773914024
25	0.1752618488
26	0.1740566641
27	0.172901654
28	0.1713694935
29	0.1706499413
30	0.169675781
31	0.168794777
32	0.1677572978
33	0.166842925
34	0.1656727183
35	0.1648609825
36	0.1641418716
37	0.1633820769
38	0.1624378456
39	0.1615381714
40	0.1607350151
41	0.1599233204
42	0.1591652148
43	0.1581552724
44	0.1576895256
45	0.1569274915
46	0.1564526807
47	0.1557693416
48	0.1551025994
49	0.1543711959
50	0.1538250223
51	0.1531072507
52	0.152576837
53	0.1521129568
54	0.1515277666
55	0.1511010581
56	0.1506103288
57	0.1499889614
58	0.149537902
59	0.1490519486
60	0.1486824858
61	0.1481976344
62	0.1476772922
63	0.1472994188
64	0.1467951129
65	0.1460296328
66	0.1456904447
67	0.1452598597
68	0.1446412576
69	0.1443251361
70	0.1436854896
71	0.1430561448
72	0.1426277397
73	0.1420760637
74	0.1416501225
75	0.1412240755
76	0.1406802983
77	0.1401945708
78	0.139869437
79	0.1393744102
80	0.1388019572
81	0.1382527845
82	0.1378115487
83	0.1375416762
84	0.1371277092
85	0.1368072142
86	0.1363766631
87	0.1359776882
88	0.1354292817
89	0.1349899452
90	0.1345466354
91	0.1341923362
92	0.1337698811
93	0.1334736122
94	0.1330168988
95	0.1324813185
96	0.1320548985
97	0.1315524606
98	0.1312216591
99	0.1308554879
100	0.1305857335
101	0.1301243197
102	0.1296280305
103	0.1290323855
104	0.1286796386
105	0.1280443217
106	0.1276790517
107	0.1271806523
108	0.1268914519
109	0.1265729638
110	0.1263325928
111	0.1260244631
112	0.1256621794
113	0.1252032434
114	0.124867748
115	0.1245237866
116	0.1241802768
117	0.1239220142
118	0.1235362718
119	0.1231828514
120	0.1228532037
121	0.1222899699
122	0.1219698111
123	0.121452617
124	0.1211431062
125	0.1207973506
126	0.1203263264
127	0.1198822801
128	0.1195439321
129	0.1191647633
130	0.118841975
131	0.1182927139
132	0.1179123138
133	0.1175229227
134	0.1173210045
135	0.1169079734
136	0.1166097966
137	0.116330667
138	0.1159452066
139	0.1155703766
140	0.1153178554
141	0.1148627342
142	0.1146986902
143	0.1145150584
144	0.1141181874
145	0.1135706986
146	0.1131273269
147	0.1127289899
148	0.1125095773
149	0.1121473849
150	0.1120181213
151	0.1116819034
152	0.1112472666
153	0.1109715928
154	0.1107806659
155	0.1105721061
156	0.1103043054
157	0.1100800706
158	0.1095852488
159	0.1093206149
160	0.1089285114
161	0.1084410498
162	0.1081273334
163	0.1077168723
164	0.1072708794
165	0.1066756773
166	0.1064375918
167	0.1061879782
168	0.105841997
169	0.1053051899
170	0.1051457386
171	0.1047214801
172	0.1044411719
173	0.1041136771
174	0.1038386205
175	0.1036548943
176	0.1033668623
177	0.1029840776
178	0.1025323697
179	0.1023891554
180	0.102026756
181	0.1018712674
182	0.1015707049
183	0.1014363191
184	0.1012066064
185	0.1008053878
186	0.1005516956
187	0.1001677288
188	0.09991992169
189	0.09976774881
190	0.09956627606
191	0.09934857241
192	0.09918205094
193	0.09885346659
194	0.09850488593
195	0.09821821034
196	0.09789833452
197	0.09777149046
198	0.09743478302
199	0.09712783201
